roi,statistic,p_value
CG_L_7_1,0.0,1.0
CG_R_7_1,0.8275862068965048,0.6611377242318708
CG_L_7_2,1.2173913043477569,0.5440600500081576
CG_R_7_2,0.7500000000000662,0.6872892787909494
CG_L_7_3,0.8571428571429329,0.6514390575310309
CG_R_7_3,7.644444444444476,0.0218791265504644
CG_L_7_4,2.0476190476189933,0.35922385840537274
CG_R_7_4,1.2727272727272796,0.5292133415000486
CG_L_7_5,1.9999999999990126,0.367879441171624
CG_R_7_5,1.2799999999999274,0.5272924240430676
CG_L_7_6,1.3684210526316385,0.5044883526787063
CG_R_7_6,1.4000000000000075,0.49658530379140764
CG_L_7_7,5.99999999999995,0.04978706836786518
CG_R_7_7,1.9999999999990126,0.367879441171624
Tha_L,0.3783783783784275,0.8276299132500504
Hipp_L,1.5999999999999095,0.449328964117242
Amyg_L,2.000000000000177,0.3678794411714098
Accum_L,4.647058823529378,0.0979273490203229
Tha_R,1.3333333333332575,0.5134171190326117
Hipp_R,1.9999999999990126,0.367879441171624
Amyg_R,2.000000000000177,0.3678794411714098
