roi,statistic,p_value
CG_L_7_1,0.5833333333333144,0.7470175003104397
CG_R_7_1,0.5833333333333144,0.7470175003104397
CG_L_7_2,0.25,0.8824969025845955
CG_R_7_2,3.25,0.19691167520419406
CG_L_7_3,0.25,0.8824969025845955
CG_R_7_3,1.5833333333333144,0.45308901728017326
CG_L_7_4,0.3333333333333144,0.8464817248906221
CG_R_7_4,3.0,0.22313016014842982
CG_L_7_5,1.0833333333333144,0.5817778142098137
CG_R_7_5,1.5833333333333144,0.45308901728017326
CG_L_7_6,0.5833333333333144,0.7470175003104397
CG_R_7_6,0.25,0.8824969025845955
CG_L_7_7,4.333333333333314,0.11455884399268881
CG_R_7_7,0.3333333333333144,0.8464817248906221
Tha_L,1.5833333333333144,0.45308901728017326
Hipp_L,2.3333333333333144,0.3114032239146006
Amyg_L,0.5833333333333144,0.7470175003104397
Accum_L,0.5833333333333144,0.7470175003104397
Tha_R,0.75,0.6872892787909721
Hipp_R,2.25,0.3246524673583498
Amyg_R,2.3333333333333144,0.3114032239146006
Accum_R,7.75,0.02075433787369974
