roi,statistic,p_value
CG_L_7_1,1.6,0.4493289641172217
CG_R_7_1,3.0,0.22313016014842982
CG_L_7_2,2.260869565217352,0.3228928377083558
CG_R_7_2,5.2,0.07427357821433386
CG_L_7_3,2.0,0.36787944117144245
CG_R_7_3,0.05882352941171121,0.9710165517924632
CG_L_7_4,0.66666666666662,0.7165313105738059
CG_R_7_4,4.3076923076923075,0.11603700224776009
CG_L_7_5,2.0,0.36787944117144245
CG_R_7_5,0.16666666666666666,0.9200444146293233
CG_L_7_6,3.6,0.16529888822158653
CG_R_7_6,2.6,0.27253179303401265
CG_L_7_7,0.5,0.7788007830714049
CG_R_7_7,1.0,0.6065306597126334
Tha_L,0.8749999999998865,0.6456485264279287
Hipp_L,3.7999999999998195,0.14956861922264855
Amyg_L,5.2,0.07427357821433386
Accum_L,6.588235294117594,0.03710076657961878
Tha_R,0.7924528301886794,0.6728543343119713
Hipp_R,2.0,0.36787944117144245
Amyg_R,1.0,0.6065306597126334
